Nama Kampus,Sinta score
Universitas Panca Marga,13.291
Institut Teknologi dan Bisnis Nobel Indonesia,13.216
Universitas Muhammadiyah Palu,13.090
Sekolah Tinggi Ilmu Kesehatan Hang Tuah Surabaya,13.067
INSTITUT TEKNOLOGI KESEHATAN MALANG WIDYA CIPTA HUSADA,12.931
Universitas Nias,12.906
Institut Teknologi dan Kesehatan Muhammadiyah Kalimantan Barat,12.893
Universitas Aufa Royhan,12.846
Universitas Islam As-syafiiyah,12.754
Universitas Panca Sakti Bekasi,12.739
Institut Agama Islam Negeri Kerinci,12.706
--disable--IKIP PGRI Pontianak,12.618
Universitas Panca Bhakti,12.657
--disable--IKIP PGRI Pontianak,12.618
Universitas Nias Raya,12.581
Universitas Hayam Wuruk Perbanas,12.550
Institut Pemerintahan Dalam Negeri,12.533
Universitas Nahdlatul Ulama Indonesia,12.515
Universitas Nusa Bangsa,12.515
Universitas Jayabaya,12.482
Universitas Darma Agung,12.480
Universitas Gorontalo,12.402
IAIN Palopo,12.354
Universitas Gorontalo,12.349
Politeknik Negeri Balikpapan,12.347
STIKES Telogorejo Semarang,12.343
Politeknik Negeri Pontianak,12.232
Universitas Tompotika Luwuk,12.158
Universitas Mega Buana Palopo,12.092
Politeknik Penerbangan Indonesia Curug,12.041
Universitas Sulawesi Tenggara,12.037
STIKES Muhammadiyah Ciamis,12.029
Politeknik Penerbangan Indonesia Curug,12.036
Politeknik Pertanian Negeri Payakumbuh,12.015
Universitas Setia Budi,11.926
Universitas Budi Darma,11.909
Politeknik Negeri Cilacap,11.907
Universitas Kristen Wira Wacana Sumba,11.883
Universitas Nahdlatul Ulama Al Ghazali Cilacap,11.875
Universitas Pembinaan Masyarakat Indonesia,11.873
STIKES Banyuwangi,11.839
Politeknik Kesehatan Kementerian Kesehatan Kendari,11.825
Institut Agama Islam Negeri Curup,11.769
Universitas Muhammadiyah Gombong,11.761
Institut Teknologi Dirgantara Adisutjipto,11.760
Universitas Halmahera,11.738
Institut Teknologi Telkom Purwokerto,11.700
Universitas Widya Gama Mahakam Samarinda,11.684
Politeknik Manufaktur Bandung,11.658
Universitas Widya Husada Semarang,11.620
Universitas Bakti Tunas Husada,11.617
Sekolah Tinggi Ilmu Kesehatan Pemkab Jombang,11.581
Universitas AKPRIND Indonesia,11.555
Institut Kesehatan Deli Husada Deli Tua,11.521
Universitas Merdeka Madiun,11.501
Universitas Dharmawangsa,11.483
Universitas Al-Azhar,11.476
Institut Bisnis dan Informatika (IBI) Kosgoro 1957,11.444
Universitas Bung Karno,11.428
Politeknik Negeri Sambas,11.420
Politeknik Pertanian Negeri Samarinda,11.397
Universitas 17 Agustus 1945 Banyuwangi,11.338
Universitas 17 Agustus 1945 Banyuwangi,11.358
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,11.353
Universitas Medika Suherman,11.316
Universitas Triatma Mulya,11.296
Universitas Andi Djemma Palopo,11.186
Politeknik Pariwisata Medan,11.118
Universitas Muhammadiyah Bandung,11.115
Universitas Islam Negeri Salatiga,11.088
Sekolah Tinggi Ilmu Ekonomi Makassar Bongaya,11.032
Sekolah Tinggi Ilmu Kesehatan Stella Maris Makasar,10.954
Universitas Muhammadiyah Pringsewu Lampung,10.872
Universitas Nahdlatul Ulama Blitar,10.860
Universitas PGRI Mahadewa Indonesia,10.809
Politeknik Kesehatan Kementerian Kesehatan Padang,10.807
Institut Bisnis Dan Informatika Kwik Kian Gie,10.797
Sekolah Tinggi Ilmu Kesehatan AKBIDYO,10.707
Universitas Slamet Riyadi,10.699
Universitas Al-Irsyad Cilacap,10.677
Institut Ilmu Kesehatan Pelamonia Kesdam XIV/ Hasanuddin,10.644
Universitas Anwar Medika,10.641
Universitas Tridinanti,10.619
Universitas Islam Negeri Datokarama Palu,10.601
Sekolah Tinggi Ilmu Keperawatan PPNI Jawa Barat,10.567
Universitas Fort De Kock,10.564
Universitas Pasir Pengaraian,10.528
Poltekkes Kemenkes Banjarmasin,10.462
Universitas Tanri Abeng,10.448
Universitas Jabal Ghafur,10.435
Universitas Muhammadiyah Maumere,10.404
IKIP PGRI Bojonegoro,10.365
Universitas Islam Indragiri,10.361
Universitas Quality,10.338
Universitas Nurul Huda,10.325
Sekolah Tinggi Ilmu Kesehatan Sukabumi,10.273
IAIN Ambon,10.202
Universitas Kusuma Husada Surakarta,10.164
Politeknik Kesehatan Kartini Bali,10.134
Institut Ilmu Kesehatan STRADA Indonesia,10.052
Universitas Prima Nusantara Bukittinggi,9.973
Universitas Adzkia,9.959
